a	阿啊呵嗄吖锕腌
ce	策恻厕测侧册
cen	涔岑参
ceng	曾蹭噌层
cha	搽叉衩檫汊馇杈嚓锸喳岔差茬刹茶查姹猹碴镲察诧槎插楂
chai	瘥拆虿差侪柴钗豺
chan	骣阐蒇颤搀婵掺羼谄谗馋镡产孱缠澶蝉蟾廛冁觇潺禅铲忏单躔
chang	倘嫦娼倡敞怅长裳偿肠畅常鲳昌菖苌昶徜阊场惝厂唱鬯猖伥尝氅
chao	耖抄怊巢钞绰剿晁焯潮炒吵朝嘲超
che	车掣砗坼辙撤扯彻澈
chen	尘宸琛谶忱称臣晨沉龀陳郴辰榇趁沈秤陈伧橙抻谌衬嗔碜
cheng	瞠铖蛏埕裎称枨铛承逞撑澄盛呈诚乘丞秤城噌橙惩骋柽酲成塍程
chi	啻炽哧踟侈篪耻褫匙池魑坻迟眵鸱赤吃眙傺痴豉嗤墀尺叱翅斥弛蚩媸持饬敕驰齿彳笞茌瘛螭
chong	涌冲宠充衝崇虫铳艟茺憧忡重舂
chou	丑筹畴帱抽瘳瞅绸稠俦酬惆愁仇踌臭雠
chu	褚蜍黜怵初雏绌樗楮储憷触蹰刍础躇橱杵楚厨矗搐畜除亍处出锄滁
chuai	嘬啜膪踹揣搋
chuan	串钏巛舡舛穿川传喘氚船遄椽
chuang	床幢闯怆疮窗创
chui	陲椎槌捶炊棰锤垂吹
chun	春唇莼醇淳鹑椿纯蝽蠢
chuo	龊绰辍啜踔戳
ci	雌祠瓷茈剌辞磁差赐伺呲疵茨次糍慈鹚词兹蚝此刺
cong	璁枞琮丛淙从葱聪骢苁囱匆
cou	辏楱凑腠
cu	醋粗蔟簇促徂卒酢蹙蹴猝殂
cuan	爨撺攒蹿汆镩篡窜
cui	翠璀毳隹榱崔悴瘁粹啐衰萃淬催摧脆
cun	存蹲村寸皴忖
cuo	瘥挫锉错脞措鹾撮嵯矬痤搓厝蹉磋
da	耷嗒笪褡妲大瘩哒怛搭靼答塔沓疸达鞑打
dai	歹呆迨呔带怠甙绐贷帶玳戴大岱待逮黛殆傣骀埭代袋
dan	旦弹殚郸石淡蛋聃箪啖掸疸眈吐惮担胆耽儋但诞丹瘅萏澹单氮赕
dang	荡裆當档菪凼谠铛砀当挡党宕
dao	刀导蹈悼捣到忉祷氘盗道稻倒岛叨
de	地嘚德锝的得
dei	得
deng	戥澄蹬嶝瞪噔灯登等邓凳磴簦镫
di	睇柢堤蒂第绨提的坻棣羝骶氐碲弟抵地递涤狄翟谛荻敌籴迪娣镝滴低觌底嫡邸帝诋缔笛嘀砥
dia	嗲
dian	阽奠店踮玷垫碘癜颠點滇殿电惦钿靛簟淀丶坫典点甸癫佃巅掂
diao	碉凋鲷钓吊铫铞雕刁貂叼掉調鸟调屌
die	蹀揲鲽垤叠碟跌迭谍瓞蝶踮喋牒佚耋爹堞
ding	鼎玎铤订町盯叮顶锭疔丁碇啶酊仃耵定钉腚
diu	丟丢铥
dong	栋岽氡董峒懂鸫動冬动恫胴洞冻东侗胨咚硐垌
dou	陡读嘟蚪斗痘抖都逗豆兜窦篼督蔸
du	妒牍赌嘟肚都度杜椟蠹黩睹髑笃顿渎犊督渡读堵独芏镀毒
duan	端段断缎簖短煅椴锻
dui	堆镦憝碓怼兑敦队对對
dun	炖囤吨镦沌砘盹盾蹲遁顿墩礅钝敦趸
duo	哆缍掇惰驮度剁哚沲垛舵堕踱朵柁裰铎躲多跺咄夺
e	颚鹗惡屙鄂蛾恶婀扼额峨谔饿呃鳄阿厄鹅垩苊遏噩锷讹俄萼娥哦莪愕阏轭腭锇
ei	诶
en	摁恩蒽嗯
er	耳珥饵二鸸铒而尔迩佴洱儿鲕贰
fa	发罚珐阀伐法筏垡砝乏
fan	幡反矾烦蘩范贩泛梵番翻樊饭燔蕃帆凡飯返犯藩繁蹯畈钒
fang	芳纺仿鲂紡防方彷舫访坊房肪钫邡妨放枋
fei	沸啡飞狒肺肥吠鲱痱镄腓蜚诽淝费篚匪芾菲扉榧砩妃悱废非翡斐绯霏
fen	忿愤吩坟粪奋粉汾芬分偾酚鼢玢氛纷棼鲼焚份瀵
feng	缝封风疯鋒俸逢冯唪砜锋枫峰沣奉丰蜂葑烽凤讽鳳酆
fo	佛
fou	缶否
fu	弗辅赙福罘跗浮讣妇蚨蝮艴负鲋腑芾砩涪佛茯莩甫腹趺孚匐幞孵腐驸脯拂負副滏怫鳆肤桴幅蜉绋敷袱拊服夫府菔绂釜凫蝠莆付缚咐辐黼苻稃抚赴阜符俘芙扶郛呋傅斧黻伏麸富覆父赋俯馥附复祓氟
ga	轧嘎噶尬伽旮胳钆尕咖尜
gai	钙盖芥该戤赅溉陔丐改概垓
gan	擀澉杆尴竿敢干绀乾赣甘秆旰酐感肝赶坩矸淦泔疳苷柑橄
gang	港扛戆钢剛岗刚杠纲缸冈罡筻肛
gao	羔诰锆膏睾糕郜稿搞藁告槔高篙镐槁皋杲缟
ge	歌镉搁个鬲舸屹葛戈硌合疙膈嗝噶蛤圪仡虼盖哥哿阁隔革塥割搿個纥袼铬鸽骼咯胳各格颌
gei	给給
gen	艮跟根哏茛亘
geng	绠埂赓庚颈耕哽梗鲠羹耿更
gong	恭贡珙功弓攻龚拱汞供躬觥蚣工公巩肱共宫红
gou	钩缑枸句勾媾觏佝岣笱构狗够苟彀鞲遘诟垢沟篝购
gu	汩臌呱轱雇估鸪骨蛄鹘箍酤故牯瞽诂姑孤罟钴辜固顾谷沽咕觚毂古牿贾鹄菰崮痼梏菇鲴蛊锢鼓嘏股
gua	褂诖栝呱胍鸹蜗卦括寡瓜剐挂刮
guai	拐怪掴乖
guan	莞鹳棺纶罐矜盥倌掼鳏贯馆惯灌冠关涫管官观
guang	咣广逛桄犷胱光
gui	晷匮轨龟庋硅闺簋刿宄诡癸跪桧皈桂归炔规鲑鬼傀瑰贵鳜圭柜妫匦刽炅
gun	衮磙滚棍鲧绲辊
guo	果掴猓虢涡呙埚椁叵聒裹蝈過郭国崞过帼馘锅蜾
ha	蛤虾哈铪
hai	孩骸害亥醢嗨还骇胲海氦嘿還咳
han	焊函含撖瀚翰憨颔汗喊悍寒鼾汉顸邯晗韩捍菡阚酣蚶罕撼憾涵旱邗焓
hang	绗吭夯珩巷沆颃行杭航
hao	嚆薅毫号嗥郝壕皓好濠貉灏镐蚝嚎颢浩豪蒿耗昊
he	禾菏何荷翮和核合嗬诃赫褐曷蚵貉呵阖壑河贺鹤阂劾喝盍纥盒涸吓颌
hei	嘿嗨黑
hen	很狠痕恨
heng	哼亨蘅横珩恒桁衡
hong	薨黉轰洪蕻闳宏讧弘虹红哄荭烘鸿泓訇
hou	瘊喉吼後糇候侯逅后堠猴骺厚鲎篌
hu	瑚槲浒戏惚户醐怙扈唬鹘和核祜笏蝴煳瓠斛互壶沪弧滹护岵忽狐葫鹱湖戽鹄轷胡呼囫鹕琥猢觳虎唿烀乎冱糊
hua	豁画花华化哗猾铧滑砉骅划话桦
huai	槐徊坏孬踝划淮怀
huan	锾宦獾还鬟寰鲩幻焕漶环痪洹郇萑欢擐涣逭圜换缳唤缓患桓浣奂豢
huang	隍癀慌鳇蟥黃遑篁谎皇幌恍湟璜簧荒煌惶凰磺蝗肓徨潢黄晃
hui	虺卉缋喙挥诲辉晦徽汇蟪灰蛔秽徊会茴慧溃桧诙惠悔晖绘隳洄恢珲讳彗荟恚烩麾回堕浍蕙咴毁哕贿
hun	珲阍溷魂荤混诨昏浑馄婚
huo	嚯火藿获货惑和豁镬劐伙活或钬夥耠锪攉霍祸蠖
ji	绩墼骥积脊冀楫剞鸡荠级績忌玑跻藉已奇齐姬给哜急跽咭芨迹稽蒺际圾济祭系岌嵇鲫笈暨掎偈技籍纪佶犄疾髻击稷汲笄箕集辑嫉戟赍蓟吉畿记霁觊寄计矶期鲚饥虮屐羁寂伎讥洎即诘瘠己继机其蕺肌亟激殛芰几妓季缉基麂畸唧齑剂乩及戢革丌悸嵴挤叽极既棘
jia	矫戛挢甲佳价钾佼嫁铗痂瘕跏铰葭搅荚伽枷徼剿狡湫笳袷脚挟袈绞镓贾饺茄珈家夹假浃迦岬侥颊皎敫驾嘉架角稼恝胛郏嘏蛱加缴
jian	蹇腱毽锏健溅戋贱间践简拣箭茧睑鲣趼翦鹣笺奸剪缣踺艰歼笕俭剑楗碱饯囝枧牮戬裥搛僭件浅谏荐涧检肩硷坚鞯湔槛菅监舰兼捡尖蒹柬犍谫渐煎见鉴减建謇键缄
jiang	蒋缰桨耩糨浆匠将奖虹洚讲茳犟疆蔣江强僵绛礓降姜豇酱
jiao	跤矫挢峤鹪佼铰校较郊僬搅骄娇徼叫剿狡湫酵嚼脚噍焦交轿绞觉礁饺茭姣浇敫教椒侥皎窖蕉角鲛蛟醮胶缴艽
jie	碣揭桔楷价捷孑阶喈嗟竭截結节解杰诫劫疥骱羯偈戒颉接婕睫皆疖讦姐藉诘秸桀借届街蚧拮界介洁鲒芥结
jin	馑仅烬筋劲晋近尽矜谨禁今缙金瑾妗槿紧浸衿锦靳进卺巾觐廑斤津噤荩堇赆襟
jing	刭靓精经警劲荆菁肼茎竞镜颈竟靖痉井弪敬晶阱净鲸婧腈胫静境旌京惊径兢獍憬泾景粳儆迳睛
jiong	扃囧迥窘炯炅
jiu	鬏旧酒厩玖救舅究赳韭就咎疚灸啾鹫九鸠久柩臼纠桕阄僦揪
ju	踞矩举枸驹裾桔惧句榘窭狙菊钜鞠橘车据拒具踽炬疽龃且居掬遽醵巨趄讵俱局琚苴莒倨沮鞫距椐瞿剧锯柜咀屦飓拘犋苣蜛锔榉聚雎
juan	鹃圈卷绢鄄桊隽锩镌俊劵涓眷蠲狷倦捐娟
jue	谲掘桷矍崛撅嗟蹶蕨嚼爵脚獗觖噱噘橛诀爝觉攫珏劂倔厥孓角抉镢绝决
jun	君麇捃筠皲菌俊隽竣骏龟浚均军郡钧峻
ka	卡喀胩咔佧咯咖
kai	凯锎剀楷铠恺垲慨锴开蒈揩忾
kan	瞰龛磡阚莰刊砍嵌看勘戡堪侃坎槛
kang	亢钪炕伉扛康抗慷糠闶
kao	栲烤靠铐考犒拷尻
ke	轲颏钶珂岢刻颗缂嗑渴溘氪咳客科疴可蚵磕柯课呵骒蝌稞窠棵坷瞌苛壳锞克髁恪
ken	龈肯恳啃裉垦
keng	坑吭铿
kong	箜孔空控恐倥崆
kou	筘口扣眍叩蔻寇抠芤
ku	酷枯轱哭骷绔库喾裤窟堀刳苦
kua	夸挎胯侉垮跨
kuai	会侩脍快狯桧浍块哙蒯郐筷
kuan	款宽髋
kuang	诓匡狂夼矿旷筐圹纩哐邝況框况贶诳眶
kui	窥暌跬匮隗喟蝰蒉葵溃奎聩夔魁馈愦馗揆愧亏盔睽篑傀逵悝岿喹
kun	琨阃捆昆醌悃困鲲锟坤髡
kuo	栝阔扩括廓适蛞
la	砬啦喇垃落辣剌腊蜡拉旯瘌邋
lai	涞赖睐徕癞崃籁濑莱赉來来铼
lan	拦婪懶罱篮阑漤缆兰览榄揽谰栏蓝滥懒烂镧岚褴澜斓
lang	狼蒗榔浪螂琅廊啷稂莨锒郎朗阆
lao	潦烙栳铹劳捞痨姥涝耢唠酪崂牢络醪落佬老铑
le	叻捋鳓了勒仂泐肋乐
lei	缧镭雷酹垒诔勒儡檑泪类擂嫘羸肋磊蕾耒累嘞
leng	冷愣塄棱楞
li	李跞砾蠡厉溧粒狸厘利雳鳢立轹苈励坜俐痢疠娌粝隶缡呖嚟莉離澧蜊詈鲤犁裡笠鬲荔嫠枥璃骊锂俚篱礼栗唳莅蛎历猁里黎篥醴戾梨傈喱理例吏鲡鹂郦藜砺离蓠疬丽力沥俪罹哩逦栎悝黧漓
lia	俩
lian	裣莲炼怜裢潋练蠊脸殓臁敛鲢恋帘濂奁楝廉镰蔹琏链连联涟
liang	晾粱辆凉靓魉亮谅梁两踉量椋墚俩莨粮良
liao	寮缭潦蓼撂疗撩聊尥僚廖寥镣鹩了辽燎嘹钌獠料
lie	鬣咧趔列埒冽裂捩猎躐劣烈洌
lin	檩懔秘临林麟邻躏赁嶙辚膦霖粼吝遴瞵啉廪琳淋磷拎蔺凛鳞
ling	酃伶棂菱棱龄羚令零另柃领呤囹陵鲮翎苓蛉灵瓴铃聆绫岭泠凌玲
liu	琉鎏鹨流绺旒锍浏陆镏六碌溜刘骝馏柳榴遛硫熘留铆瘤
lo	咯
long	茏拢垅聋笼垄胧咙龙隆泷砻珑癃陇窿栊弄
lou	搂髅偻蒌喽露耧镂陋娄篓嵝瘘蝼楼漏
lu	赂蓼栌鹿渌撸炉庐镥虏卢绿璐噜掳戮陆鸬辘鹭六垆录碌簏橹舻颅鲁芦露麓泸卤漉逯胪辂氇鲈潞路禄轳
lv	屡稆虑吕履绿膂旅緑缕侣律氯榈褛率偻闾铝捋驴滤
luan	乱挛卵銮娈脔峦滦鸾栾孪
lue	掠略锊
lun	抡囵沦纶论仑伦轮
luo	烙逻罗雒裸荦硌倮漯锣摞骡脶镙瘰骆椤泺络猡蠃落箩啰捋螺珞咯洛萝
m	呒
ma	吗马妈骂码唛麻蚂玛蟆么嗎犸杩嘛嬷摩抹
mai	霾買埋迈卖脉劢麦买荬
man	蔓缦慢颟谩鳗螨镘馒蛮幔埋瞒鞔满曼熳漫墁
mang	芒莽氓漭茫邙盲忙硭蟒
mao	矛貿锚蝥旄卯泖髦贸猫懋袤毛貌帽瞀茅茆茂铆蟊冒瑁貓昴牦耄峁
me	麼么麽点
mei	昧湄猸魅谜霉镁袂眉玫镅酶沒莓妹没媒糜梅鹛寐枚楣浼每嵋美煤媚
men	们钔闷們门懑扪焖
meng	甍锰氓蜢孟盟礞蠓艋濛瞢虻勐梦朦萌懵艨檬蒙猛
mi	嘧谜脒秘密眯宓敉蜜祢縻弥糜迷醚谧汨觅靡弭米咪麋幂泌芈猕蘼
mian	娩勉眠黾免沔缅腼面冕棉渑绵眄湎
miao	淼妙鹋描缈缪眇渺杪苗秒喵瞄庙邈藐
mie	蠛灭咩蔑篾乜
min	珉玟愍皿闽悯黾民闵缗岷敏鳘苠渑泯抿
ming	铭盟茗酩冥螟名命暝明鸣溟瞑
miu	谬缪
mo	漠蘑膜寞摹摩抹魔墨磨摸没陌莫麽沫茉默无模馍末
mu	募拇目母姥沐木牧暮墓姆幕睦亩慕牡穆
na	哪钠纳衲拿娜么呐那
nai	氖妳耐乃奶奈
nan	难赧楠男南腩蝻喃
nang	囊
nao	挠淖孬脑闹恼
ne	哪吶呢讷呐
nei	馁内
nen	嫩
neng	能
ni	泥溺腻霓妞匿妮拟尼逆你倪昵
nian	撵捻碾蔫黏粘拈念鲶年
niang	娘酿
niao	嬲鸟袅尿
nie	捏㖏聂孽镊涅啮镍
nin	您
ning	咛泞宁狞拧凝柠
niu	牛钮妞扭纽拗
nong	农侬浓脓弄
nu	努奴弩孥怒
nv	女钕
nuan	暖
nue	疟虐
nuo	傩懦糯娜挪诺
o	喔哦噢
ou	欧沤歐藕偶瓯呕鸥殴
pa	啪趴爬葩琶帕杷怕
pai	牌拍湃派徘排
pan	盘攀判潘磐叛胖畔盼
pang	螃彷旁胖耪乓庞
pao	抛刨庖炮跑咆袍泡龅
pei	沛培胚配陪赔佩裴呸
pen	盆喷
peng	芃膨硼朋彭澎捧碰抨烹篷棚蓬砰鹏
pi	坯劈霹匹屁啤披譬辟疲毗癖琵僻痞砒批铍枇丕脾貔媲皮
pian	骈篇偏片翩骗
piao	朴票瓢漂瞟飘嫖
pie	瘪撇瞥
pin	品聘拚嫔贫频拼
ping	娉评平凭屏瓶坪萍苹乒
po	朴叵颇鄱泼迫魄粕坡珀婆破
pou	锫剖
pu	埔朴谱普菩瀑蒲扑璞曝浦铺葡莆噗濮圃仆
qi	凄沏祈圻器桼琪栖旗琦绮鳍脐杞泣漆妻砌缉麒戚期芪讫乞骑祁綦七祺棋锜契气奇欺岐汽齐岂企柒启骐歧弃其淇年起
qia	卡髂葜伽洽袷掐恰
qian	谴芊鬈慊褰肷倩箝遣岍阡虔茜签千迁缱搴钎仟乾潜牵掮荨椠悭浅愆钳钤欠嵌歉纤佥钱扦黔芡骞铅犍谦前堑
qiang	襁呛蔷锖将蜣戕戗枪腔羟跄强樯抢羌锵镪炝嫱墙
qiao	撬荞悄瞧峤谯硗峭俏跷愀乔窍敲锹鞒雀橇劁桥侨蕉壳鞘巧憔缲诮翘樵
qie	妾窃且趄砌锲挈伽惬郄茄箧切怯慊
qin	吣芹擒噙嗪矜钦秦溱覃禽檎沁衾侵勤琴螓亲揿廑锓芩寝
qing	氢箐謦请罄綮倾黥卿轻圊氰清情晴青苘鲭磬擎亲顷庆檠蜻
qiong	筇穷邛蛩銎琼跫茕穹
qiu	巯泅楸酋龟蚯仇丘赇裘糗湫虬邱犰蝤遒球鼽俅鳅囚秋逑求
qu	鸲躯娶去趋璩朐黢磲衢阒觑蠼癯诎岖祛区蘧趣劬蛆渠麴戌氍瞿取蛐屈驱龋曲蕖苣佢
quan	劝鬈铨醛诠辁绻蜷权圈悛券筌痊畎全泉權犬拳颧荃
que	阙榷阕缺却炔悫确鹊雀瘸
qun	群裙麇逡
ran	染蚺苒髯然冉燃
rang	壤穰瓤嚷攘让禳
rao	桡饶扰绕荛娆
re	喏惹若热
ren	人葚妊轫纫仁刃稔赁荏饪认衽韧仞壬任忍恁
reng	扔仍
ri	日
rong	荣冗榕戎嵘肜溶融茸熔容蝾绒蓉狨
rou	肉揉柔鞣糅蹂
ru	乳孺嚅茹濡颥褥汝缛铷蠕入蓐薷如洳儒襦溽辱
ruan	阮朊软
rui	锐瑞蕤芮蚋睿枘蕊
run	闰润
ruo	弱箬偌若
sa	萨脎挲洒卅飒撒仨
sai	腮赛思噻塞鳃
san	馓叁散毵糁伞霰三
sang	丧嗓搡桑磉颡
sao	缫嫂骚瘙扫臊搔缲艘埽梢鳋
se	瑟铯色穑涩塞啬
sen	森
seng	僧
sha	歃杀挲嗄傻裟刹莎啥煞砂鲨纱杉痧厦霎唼铩沙
shai	晒筛酾色
shan	陕跚膳苫钐善掺山擅赡珊膻骟掸衫缮剡嬗扇删栅鄯闪埏潸讪单髟汕蟮杉疝禅舢鳝芟煽姗
shang	晌熵觞赏裳商汤绱上伤墒尚垧殇
shao	劭召艄哨蛸少稍勺韶绍芍梢邵苕潲鞘筲烧捎杓
she	佘畲歙猞麝摄设蛇社涉赊舍奢折滠赦慑射舌厍
shei	谁
shen	谂深娠诜什葚甚肾糁莘婶绅希神胂砷伸渖椹矧沈渗参申身蜃珅呻慎哂审
sheng	甥声升剩绳牲省盛圣嵊生渑眚笙胜晟乘
shi	矢驶恃式氏什师示施狮拭匙蚀适试谥鲥侍石时屎使贳铈视舐似始弑嗜峙市是虱酾嘘蓍势柿噬螫殖莳拾事轼仕筮室食世士释尸失十实埘湿史鲺识豕饰逝诗炻誓
shou	守受熟授狩艏寿绶兽手首收售瘦
shu	纾熟抒曙菽树叔澍殳摅束腧疋赎秫疏毹墅鼠戍淑漱暑黍术蜀庶数殊薯输枢署书塾梳属沭俞倏孰蔬述恕姝竖舒
shua	刷唰耍
shuai	摔帅衰蟀率甩
shuan	拴闩涮栓
shuang	孀爽双霜泷
shui	水税谁说睡蜕
shun	吮顺舜瞬
shuo	烁铄数妁搠说硕朔蒴槊
si	兕思驷厮寺咝似蛳司锶四澌赐伺笥鸶姒撕斯肆食俟嘶泗耜私巳缌饲祀汜死丝嗣
song	淞凇耸崧竦嵩悚忪菘讼宋颂怂送松诵
sou	嗖薮馊螋叟瞍嗽溲搜飕锼擞艘嗾
su	觫肃溯粟诉缩簌蔌苏僳嗉素宿塑速酥俗谡涑稣夙愫
suan	狻酸蒜算
sui	隧虽碎绥濉眭遂祟邃隋睢尿燧岁荽髓随谇穗
sun	笋损狲隼孙飧榫荪
suo	唆琐桫莎挲羧所嗦索锁梭睃蓑缩娑唢嗍
ta	闼溻他趿嗒踏榻漯塌挞她它塔沓遢铊獭鳎拓蹋
tai	跆抬太汰肽胎骀台鲐态苔呔泰炱酞钛薹邰
tan	忐坦坛碳袒弹谭叹檀贪覃瘫探毯炭痰摊镡锬昙潭坍谈滩郯钽澹
tang	倘耥搪淌溏趟塘糖醣螳铴烫樘饧躺羰帑棠膛瑭汤傥堂镗螗唐
tao	啕萄讨滔鼗掏陶淘韬涛洮饕逃绦套焘叨桃
te	忒铽特忑慝
tei	忒
teng	疼腾滕誊藤
ti	荑绨倜嚏啼提锑鹈剃缇裼踢悌屉替醍涕逖体题剔梯蹄惕
tian	畋填添腆佃忝甜天阗舔嗔恬钿殄田掭
tiao	跳龆祧眺鲦挑苕笤窕粜佻迢髫条调蜩
tie	铁贴餮帖萜
ting	町汀葶莛烃蜓挺厅霆婷亭艇庭廷听停铤梃
tong	桐潼峒捅彤铜砼恸通筒恫同茼统痛侗佟酮硐桶嗵垌瞳童仝
tou	钭头透投偷骰
tu	钍酴兔菟突凃土荼徒堍凸图秃屠途吐涂
tuan	湍疃抟团彖
tui	腿褪忒推煺颓蜕退
tun	囤屯饨炖褪豚臀暾氽吞
tuo	妥鸵橐乇箨坨柝托脱驮跎沱魄椭陀扥舵鼍柁驼拖佗庹酡砣铊唾拓
wa	凹娲挖瓦腽娃洼佤袜蛙哇
wai	歪外崴
wan	莞娩畹惋弯蔓腕碗婉豌纨顽晚菀皖湾挽玩绾宛灣烷脘丸浣芄万剜完琬蜿
wang	芒魍枉惘王忘望妄汪辋亡往旺罔网
wei	纬尾苇帏痿遗圩微娓为伟渭隈唯维涠隗位味卫桅萎危巍帷诿慰嵬玮崴围洧畏猬闱葳猥威潍炜韪艉軎囗沩委未鲔韦胃谓惟魏偎喂逶蔚尉伪违煨薇
wen	雯稳吻炆搵问闻刎文阌纹蚊汶璺紊温瘟
weng	瓮嗡翁蕹蓊
wo	窝渥沃斡我握倭卧涡蜗肟龌喔幄莴硪哦挝
wu	焐芜物悟兀戊妩坞污捂舞雾恶忤庑吴勿杌巫阢诬乌圬寤侮蜈误武骛怃婺鋈钨屋鼯呜鹉梧牾邬浯無午务伍芴唔痦吾迕晤无仵亡鹜五於毋
xi	羲烯蹊穸媳汐嘻袭晰矽习栖席溪唏歙戏皙菥茜熄隙昔粞葸系蜥僖希熹悉郗隰兮淅觋铣阋蓰奚息夕醯喜西嬉牺舾舄禧蟋惜徙屣析饩熙吸欷浠稀翕鼷檄樨曦玺洗细硒腊锡犀禊螅膝
xia	黠瞎匣瘕硖侠唬暇辖虾下狭瑕呷霞峡罅狎柙厦遐吓夏
xian	衔鲜显弦筅掺宪羡霰鹇锨氙铣祆痫先閑冼藓限苋舷咸燹涎現莶暹险猃县纤仙娴酰蚬陷跹嫌籼洗跣见馅贤掀现线献腺癣岘闲
xiang	饷厢湘香庠襄葙享象橡祥翔飨缃响向巷相项鲞想像蟓镶降芗详乡箱骧
xiao	箫骁哓绡霄萧硝逍校笑筱宵枭蛸孝削啸肖销崤消魈淆效潇晓嚣銷哮小枵
xie	卸叶泻携械血蟹薤绁些屑邪谐燮歇躞獬鞋蝎解瀣偕协泄挟斜廨写颉亵胁契谢懈勰邂撷榭榍渫楔缬
xin	馨辛歆欣薪锌鑫心昕忻信新芯衅镡寻
xing	形悻幸荥陉省醒刑行星型性惺饧硎兴擤荇姓杏邢腥猩
xiong	雄兄胸熊汹芎匈凶
xiu	修咻羞朽岫绣秀溴锈貅髹鸺宿庥馐臭袖休嗅
xu	煦盱恤浒虛圩蓄须旭醑糈序徐绪顼酗吁栩嘘虚婿诩勖溆戌需畜洫絮胥蓿砉续墟许叙
xuan	揎谖选悬碹渲轩萱煊券旋璇绚炫镟宣瑄玄铉痃玹泫喧漩楦癣儇暄眩
xue	穴薛谑学泶血鳕靴削雪噱踅
xun	窨旬迅恂荀浔曛熏寻勋獯荤循郇徇荨殉讯洵巽逊汛驯浚峋醺训蕈询埙薰鲟巡
ya	垭轧岈瞧崖匹琊迓雅蚜鸭讶疋砑睚伢衙芽痖桠呀鸦氩牙丫哑压亚押涯揠娅
yan	阽言鼹菸唁蜒焉兖验郾芫腌燕湮琰堰彦赝酽奄胭俨谚阎砚延嫣晏焰谳颜焱崦恹盐艳鼽魇沿眼严岩妍衍鄢厣烟筵雁厌滟罨演铅餍掩咽阉阏炎淹闫檐研宴偃剡殷
yang	痒炀鸯央氧漾秧洋阳羊徉仰怏烊杨殃蛘扬疡泱佯样鞅恙养
yao	杳瑶疟鹞崾尧鳐曜邀腰铫约繇爻垚谣耀要药轺珧钥侥肴吆舀幺窈摇夭陶窑妖咬徭遥姚
ye	业液野爷叶哗谒琊冶页晔曳拽耶邪腋靥噎揶邺铘掖椰烨也夜咽
yi	忆懿羿姨衣依驿蜴镱意贻伊铱舣翌颐殪埸翊已熠怿益蚁彝迤嶷薏沂缢诣旖艺易苡夷揖漪蛇眙噫猗椅议溢毅欹咿亦瘗痍邑以肄饴遗矣屹宜腋义抑怡镒疫逸仪倚刈黟弈挹钇亿诒癔臆奕一悒尾荑鞥医峄咦异艾轶蛾酏绎乙劓仡役弋移译呓佾疑裔胰谊翼佚欺翳嗌圯壹
yin	窨圻狺音茚因铟湮夤蚓喑瘾寅霪胤氤姻鄞印堙荫洇吲吟银烟尹饮龈隐垠淫引茵阴殷
ying	蝇荧萤嬴荥英楹媵瘿滢撄茔赢萦硬盈莺嘤樱营膺瀛蓥婴缨郢潆颖盁应罂鹦莹颍迎璎映瑛影鹰
yo	唷哟育
yong	俑甬用永壅邕镛痈喁踊泳墉咏拥勇涌雍庸鳙蛹饔臃恿佣慵
you	祐黝蚴尤优鼬蚰酉牖由犹游鱿幽铕莠蝣釉莜右尢繇诱囿铀蝤莸佑猷油又柚悠疣友呦侑攸邮有宥忧幼
